donor_name,canonical_name,total_given,rank_overall
Bank Of America,Bank of America,11350000,3889
Bank of America  N A,Bank of America,47140000,960
Bank of America Continuum India Ltd,,37578206,1254
Bank of America Merrill Lynch,,20314000,2364
BANK OF AMERICA N A,Bank of America,42500000,1085
Bank of America NA,Bank of America,40000000,1167.5
BANK OF AMERICA NATIONAL ASSOCIATION,Bank of America,34100000,1393
Bank of India,,11571240.18,3827
Bank Of Tokyo Mitsubhishi UF Ltd,,66500000,656
Banner Elk Church of Christ,,134767062.3,306
BAPS CHARITES INC,BAPS Charities,17172935,2725
BAPS Charities,BAPS Charities,47605000.72,947
BAPS CHARITIES INC,BAPS Charities,174807772,223
BAPS CHARITIES INC NJ,BAPS Charities,68480770,635
BAPS DEVLOPMENT INC,,34015000,1398
BAPS ENDOWMENT INC,BAPS Charities,43129500,1062
BAPS INC,BAPS Charities,542691042,52
BAPS SWAMINARAYAN SANSTHA,BAPS Swaminarayan Sanstha,703878676.5,36
BAPS Swaminarayan Sanstha,BAPS Swaminarayan Sanstha,29912599.62,1617
Baptist General Conference,,30404916.02,1587
Barclays,,27227120.48,1771
Barclays Bank PLC,,174200198,224
BARCLAYS BANK PLC,,159579789,250
Barclays Global Service Centre Private Limited,Barclays Global Service Centre Private Limited,63954593,685
BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LTD,Barclays Global Service Centre Private Limited,11000000,3985
Barclays Investments and Loans India Limited,,10400000,4174
BARCLAYS SECURITIES INDIA PVT LTD,,17250277,2712
Barclays Shared Services Private Limited,Barclays Shared Services Private Limited,20130001.78,2374
Barclays Shared Services Private Ltd,Barclays Shared Services Private Limited,56392360,809
Barclays Shared Services Pvt Ltd,Barclays Shared Services Private Limited,15863765,2908
Barclays Technology Centre India Private Limited,Barclays Technology Centre India Pvt. Ltd.,36109778,1305
Barclays Technology Centre India Pvt. Ltd.,Barclays Technology Centre India Pvt. Ltd.,45010000,1006
BARMHERZIGE BRUDER,Barmherzige Bruder,16784243,2771
BARMHERZIGE BRUDER BAYERISCHE ORDENSPROVINZ KDOR,Barmherzige Bruder,12810752,3511
BARMHERZIGE BRUEDER,Barmherzige Bruder,14434937,3128
Barn I Nod,Barn I Nod,50186399,881
BARN I NOD,Barn I Nod,9600890,4473
BARNABAS AID INTERNATIONAL,Barnabas Aid International,115450849.3,357
Barnabas Foundation,,8963507,4684
BARNFONDEN INSAMLINGSSTIFTE LSE,,9164682.9,4620
Barr Foundation,,50488411.48,876
Bartena Stiftung,,9097615,4638
Bartholomaeus Gesel,,63821798,691
Bartimaeus Charitable Trust,,15796039.32,2917
Bayer AG,,16165100,2868
Bayer Business Services Philippines,,63092720,705
Bayer Corpscience,Bayer Crop Science Limited,8500000,4888.5
Bayer Crop Science Limited,Bayer Crop Science Limited,22967300,2123
BAYER CROPSCIENCE,Bayer Crop Science Limited,10060000,4276
Bayer Cropscience Ltd,Bayer Crop Science Limited,8380000,4938
BCI Growth and Innovation Foundation,BCI Growth and Innovation Foundation,46465895.58,973
BCI Growth Innovation Foundation,BCI Growth and Innovation Foundation,31310158,1539
BCM International INC,,31669953,1519
BEERSHEBA INTERNATIONAL,,20743592,2319
BELIEVUE FOUNDATION,BELLEVUE FOUNDATION,36224505,1302
BELLEVUE FOUNDATION,BELLEVUE FOUNDATION,8960015,4685
Bent Tree Bible Fellowship,,44229686.93,1025
Berg Sion,,10179358,4237
Bernad Van Leer Foundation,Bernad Van Leer Foundation,34341728.59,1381
Bernard Lewis Family Charitable Trust,,9605770,4472
Bernard van Leer Foundation,Bernad Van Leer Foundation,304454458,102
